#{"t_start": 1765739024.7830675, "env_id": "None"}
r,l,t
1.406578,1001,38.035815
17.582022,1001,75.127456
9.779439,507,96.188229
25.073745,522,115.21395
16.71984,378,130.134465
4.123707,463,147.127439
26.675159,927,182.830555
11.201276,578,204.871056
14.27931,519,223.920768
0.111802,62,226.432264
17.037214,555,247.623657
11.5075,675,274.335667
19.985237,653,299.037297
21.583427,1001,337.008722
7.188066,1001,376.256793
12.936963,580,399.428378
14.641496,654,423.550782
11.33137,1001,462.665978
16.785461,1001,501.287764
18.241818,489,520.892852
24.05894,687,546.865777
24.177687,486,567.498571
21.151351,488,585.216283
18.128806,439,603.402438
0.19281,61,605.877013
29.69694,708,633.189762
21.105281,587,654.887439
12.546502,597,679.093172
0.299216,65,681.720774
0.350954,63,684.266266
21.038716,303,696.263999
25.979344,557,717.822082
13.743766,525,737.677212
35.912115,592,761.335495
35.013199,547,782.445805
23.43616,495,802.074564
22.385404,492,820.552932
20.162737,727,849.697289
20.988996,354,862.014678
3.082887,161,868.838512
28.107059,857,901.70964
25.929392,551,924.410892
24.427715,383,938.580584
58.343135,1001,975.789151
41.68078,447,993.744626
38.818178,741,1021.168729
4.81408,252,1033.046908
24.261398,364,1046.239118
29.160368,446,1063.314645
24.20596,567,1085.505989
32.78963,695,1112.958119
39.895677,767,1140.963257
27.202153,432,1158.306727
52.922331,811,1189.31337
32.613846,708,1215.34109
103.105613,1001,1252.393184
25.570748,717,1280.539222
71.774458,1001,1318.299733
22.640947,261,1328.910119
32.329478,804,1359.45161
27.042796,456,1375.698708
31.927869,426,1392.965494
56.792065,937,1428.240997
69.558001,813,1458.858319
34.641759,1001,1495.55698
22.358664,248,1504.729256
25.877356,384,1519.005845
70.070088,1001,1556.059355
20.597988,322,1567.388082
140.815446,1001,1604.228727
135.890808,1001,1641.019983
24.16746,303,1654.047405
149.797807,1001,1690.858489
135.546594,1001,1727.665334
34.537528,366,1741.248583
107.286018,1001,1778.741034
150.710602,1001,1816.041598
84.350354,1001,1853.382925
23.079403,237,1862.167804
155.908706,1001,1899.031721
158.736896,1001,1936.433121
20.349635,476,1955.264626
149.984263,1001,1992.119806
125.215333,845,2022.16762
159.466991,1001,2058.816576
158.251514,1001,2095.936328
114.837882,1001,2133.165298
152.500644,1001,2170.443299
167.8403,1001,2207.259748
183.193585,1001,2244.121586
155.726368,1001,2281.441308
161.266356,1001,2318.329816
166.004975,1001,2355.153218
177.041433,1001,2392.374576
173.674377,1001,2429.222268
173.950609,1001,2466.535746
179.146169,1001,2503.346251
175.845017,1001,2540.28666
181.977042,1001,2577.540782
178.66248,1001,2614.724374
172.595049,1001,2651.817183
37.007885,363,2665.030041
171.490084,1001,2702.314706
22.919845,203,2711.114336
175.600418,1001,2748.24007
183.674186,1001,2784.554641
185.738049,1001,2821.326564
178.150644,1001,2858.516328
164.779452,1001,2895.800148
175.348325,1001,2932.78461
164.988862,1001,2969.599202
182.467757,1001,3006.71755
179.842948,1001,3043.617976
79.458426,682,3069.919125
181.665715,1001,3107.145354
164.574413,1001,3144.135906
171.248479,1001,3181.394345
176.495671,1001,3218.031082
184.797396,1001,3254.684034
179.412004,1001,3291.466999
189.910281,1001,3328.089978
177.834761,1001,3364.751961
178.976921,1001,3401.5857
72.271891,565,3421.431171
178.063677,1001,3458.145215
193.295242,1001,3495.030451
193.951012,1001,3531.819313
178.275141,1001,3568.562715
185.869444,1001,3605.28564
186.647457,1001,3642.021929
187.593611,1001,3678.89123
189.536931,1001,3715.689007
177.412044,1001,3752.581463
187.796714,1001,3789.914562
195.956889,1001,3826.747541
198.961722,1001,3863.527031
194.927146,1001,3900.337106
199.223274,1001,3937.007743
196.355454,1001,3973.6768
201.050887,1001,4010.367011
28.593056,392,4024.86497
196.280921,1001,4061.575187
204.379391,1001,4098.364994
187.70875,1001,4135.260979
200.527962,1001,4172.51984
188.89991,1001,4209.711286
186.130125,1001,4246.98468
195.847987,1001,4284.015065
194.748936,1001,4320.936059
187.922013,1001,4357.834619
211.267047,1001,4394.631405
188.93886,1001,4431.29724
205.924082,1001,4468.091527
198.175384,1001,4504.93693
196.193994,1001,4541.747305
196.026665,1001,4578.461951
194.108683,1001,4615.09627
200.081484,1001,4652.071479
203.602547,1001,4689.252015
198.897701,1001,4726.220556
191.503818,1001,4762.994475
198.936113,1001,4800.010183
197.497573,1001,4837.188355
205.911235,1001,4874.417707
198.027237,1001,4911.579862
204.573378,1001,4948.56854
206.223183,1001,4985.191948
212.755236,1001,5021.913192
196.628542,1001,5059.082659
201.278002,1001,5096.299254
206.9702,1001,5133.101146
