#{"t_start": 1765675346.348061, "env_id": "None"}
r,l,t
8.416437,640,30.941033
3.073763,459,51.236761
3.909002,601,72.773368
5.34113,341,85.784004
4.42695,500,107.08398
2.990247,134,112.402323
14.979468,499,132.585513
12.282828,389,147.267561
14.383917,422,163.095064
4.961053,516,183.061383
4.180473,714,211.441014
0.208774,61,214.379351
0.563136,708,239.183997
14.71243,233,250.203854
11.513834,478,266.893349
6.672005,649,291.273966
1.882796,965,328.471106
1.101264,165,334.456772
7.605666,913,372.612929
0.724088,591,395.400199
0.186687,71,398.210125
0.291179,56,401.404462
15.874624,280,414.036628
17.732507,374,428.769029
15.24576,292,439.797497
10.001538,398,456.916878
16.897105,242,465.844219
11.046352,224,475.09763
0.257381,55,477.40814
13.833999,783,508.054656
0.59721,898,544.092863
0.495682,409,559.009088
17.907584,328,573.236516
10.223132,508,592.862993
4.699297,404,609.446728
11.849866,389,625.637978
11.423665,351,639.112594
1.769309,634,664.937251
0.188031,626,688.036032
14.635072,309,701.600818
16.863674,490,719.592901
1.994503,551,742.12004
18.382946,325,754.696998
19.030218,323,767.612838
12.404738,311,781.313246
0.101529,66,783.996038
7.924626,255,793.898364
12.736424,301,805.790096
1.933829,491,825.375289
12.279698,311,837.146915
0.263463,61,840.11339
16.143545,265,850.306748
16.353489,351,865.838695
17.608392,320,876.918746
15.515188,301,888.773474
12.641108,373,904.476103
17.695049,308,916.951305
19.044388,311,929.52586
13.344369,222,938.250239
15.181516,386,954.856735
15.333656,217,963.853667
16.66104,265,973.931414
16.168666,166,982.300653
14.725265,382,997.305624
18.29144,347,1011.161034
18.624189,307,1024.194984
15.426352,204,1032.324834
15.832213,185,1039.886175
16.661733,324,1051.489798
10.85648,226,1060.319756
12.153743,301,1073.567197
17.376587,218,1082.55786
13.443313,221,1091.670688
16.43038,227,1100.062826
16.16546,224,1110.367415
11.481729,216,1118.856625
14.803718,268,1129.545876
16.446096,430,1145.529021
17.702464,300,1159.225221
9.899596,314,1171.464476
16.430697,397,1186.817162
16.351579,384,1203.225647
16.223586,217,1211.707074
15.296343,212,1220.100631
12.381176,223,1229.334801
17.196243,247,1240.385086
13.820598,263,1251.385375
5.273651,343,1264.58178
13.427179,325,1279.129487
18.628449,429,1296.023056
15.385251,228,1305.382076
16.425731,207,1314.062726
15.049254,171,1322.112303
15.354719,355,1336.163265
17.677106,244,1346.079686
17.140028,256,1355.923585
20.852003,376,1372.210537
6.050869,219,1380.902367
19.796611,318,1393.769922
17.829993,311,1407.91131
13.399713,362,1421.80308
18.614784,259,1432.701184
18.71868,249,1443.831412
17.408534,208,1453.030305
15.973726,205,1460.718915
18.059459,531,1481.089577
17.793738,212,1491.531619
18.831071,238,1501.418483
18.768622,225,1510.352609
11.603113,197,1518.776734
18.255657,298,1532.170847
16.644459,214,1540.213743
15.736032,163,1547.041744
18.715755,278,1558.67127
15.299208,233,1567.240767
16.106596,173,1575.488645
18.261926,248,1585.583868
16.862399,274,1597.532469
20.342964,367,1611.967005
14.231416,393,1628.463978
7.757261,377,1644.359591
16.850897,260,1656.879586
12.528981,216,1664.458057
13.10114,392,1679.903659
14.685705,330,1693.236531
14.003581,283,1705.65499
0.081987,76,1709.09327
14.70764,238,1718.880289
16.272994,313,1730.758802
15.984653,200,1740.813264
17.249598,348,1754.322249
22.595026,369,1768.996101
15.949629,212,1777.509004
19.600494,320,1792.072606
10.863108,361,1806.88074
19.02128,299,1818.70685
12.286288,216,1829.341875
16.878009,158,1835.591615
16.733782,208,1844.394139
13.938163,407,1859.901685
16.825249,181,1868.80018
19.654297,284,1880.179144
15.770586,1001,1920.643181
16.910636,201,1928.706438
17.048262,306,1940.849391
13.744685,264,1953.074618
13.256094,342,1966.848232
17.417253,340,1980.61651
15.794687,226,1989.052928
18.023523,214,1999.600855
16.321194,288,2010.582458
36.195134,671,2038.273441
17.683442,261,2048.902009
13.499086,512,2069.317133
19.197289,294,2082.913079
15.766049,179,2089.353527
20.382217,385,2105.481986
17.035711,176,2112.26973
19.381961,280,2125.50902
16.7941,212,2134.510185
18.109425,248,2144.249961
16.718265,215,2152.953784
16.529588,187,2161.060246
17.42659,266,2173.325194
17.937002,305,2184.905559
15.560719,179,2192.786489
18.244653,293,2204.425369
14.033411,218,2214.121432
22.510214,275,2225.634353
17.28505,453,2243.556112
15.452688,808,2276.649808
18.390348,206,2284.455489
15.877918,167,2292.912591
20.116292,234,2303.045577
