#{"t_start": 1765728010.258754, "env_id": "None"}
r,l,t
0.0,1001,44.187644
2.317153,1001,82.432007
2.394704,417,100.192163
0.523441,552,119.578992
6.087105,1001,156.755838
0.325781,311,169.312722
0.057912,743,194.837219
0.262895,152,202.668962
0.0,102,206.411838
10.497258,1001,242.358067
0.002988,1001,280.439954
0.181545,467,297.06598
8.851891,1001,333.450636
2.153391,1001,370.242299
0.0,1001,407.029844
2.518101,1001,443.471588
1.531249,1001,479.281478
3.608193,1001,515.220823
5.497226,1001,551.634639
14.721407,1001,587.722667
0.0,57,590.463636
14.011691,1001,626.754312
10.769411,1001,663.544005
0.831686,1001,699.532777
9.966199,1001,735.531436
2.072673,364,749.167659
7.612711,1001,785.140254
10.203295,1001,821.90885
1.603342,1001,858.348163
15.752956,1001,894.273346
2.473121,1001,930.196346
18.892136,1001,966.203914
23.619232,1001,1002.191873
40.457139,1001,1038.256185
37.406379,1001,1074.081115
21.891252,1001,1110.254941
10.74866,1001,1146.551655
35.292416,1001,1182.50913
0.002256,64,1185.112301
32.067012,1001,1221.277586
50.50514,1001,1257.393217
51.678924,1001,1293.316015
51.860699,1001,1329.55894
51.404908,1001,1365.436543
53.288247,1001,1401.340044
57.271518,1001,1437.138673
46.69828,1001,1472.90988
47.278661,1001,1508.73759
59.270424,1001,1544.616282
64.234097,1001,1580.745604
60.997702,1001,1616.604868
70.717509,1001,1652.470864
51.058123,1001,1688.301926
69.847536,1001,1724.242488
71.967467,1001,1760.089035
62.072219,1001,1796.417161
71.402705,1001,1832.743137
68.66537,1001,1868.930493
75.480215,1001,1905.216572
68.680177,1001,1941.484478
76.429337,1001,1977.69731
78.93581,1001,2012.389502
78.61652,1001,2048.557527
74.323696,1001,2084.705428
74.904907,1001,2120.861379
76.818927,1001,2157.033993
78.144275,1001,2193.192713
75.728739,1001,2229.454676
75.252019,1001,2265.386328
71.459024,1001,2301.26008
79.186171,1001,2337.203521
80.554571,1001,2373.02816
76.764937,1001,2408.862376
79.048849,1001,2444.739144
80.50029,1001,2480.656063
79.957801,1001,2516.553178
78.306061,1001,2552.456584
78.575525,1001,2588.249934
81.480191,1001,2624.051122
82.288406,1001,2659.757682
81.466745,1001,2695.477076
80.656611,1001,2731.242911
78.305741,1001,2767.172362
80.109747,1001,2803.185975
81.842251,1001,2838.88448
80.468822,1001,2874.726956
81.832644,1001,2910.470161
76.444749,1001,2946.27074
79.560465,1001,2982.073591
81.370249,1001,3017.819545
83.042765,1001,3053.547767
76.337507,1001,3089.395393
84.652783,1001,3125.053254
82.458294,1001,3160.724236
82.666221,1001,3196.532159
82.305298,1001,3232.329935
82.834313,1001,3268.19012
83.349576,1001,3303.95295
83.81818,1001,3339.711105
84.515083,1001,3375.419281
84.172508,1001,3411.228011
84.45113,1001,3447.043582
83.811327,1001,3482.987842
83.910183,1001,3518.874094
84.740698,1001,3554.823457
83.626398,1001,3589.165213
85.778004,1001,3625.044334
82.132629,1001,3661.437803
82.635834,1001,3697.225555
84.707851,1001,3733.265922
83.635309,1001,3769.046425
83.82809,1001,3804.723656
84.58074,1001,3840.479326
84.127633,1001,3876.149743
86.11295,1001,3911.813933
86.227472,1001,3947.523859
82.040893,1001,3983.349877
85.417719,1001,4019.182404
84.826471,1001,4054.971722
84.792407,1001,4090.741329
85.082283,1001,4126.464657
84.572236,1001,4162.121438
86.272375,1001,4197.842963
85.517574,1001,4233.65581
87.096508,1001,4269.724437
86.3204,1001,4305.856326
86.552713,1001,4342.221404
85.575006,1001,4378.453161
87.246633,1001,4414.587199
87.220486,1001,4450.443283
86.203353,1001,4486.2013
85.637798,1001,4521.984926
83.455505,1001,4557.695223
86.840404,1001,4593.49322
87.93137,1001,4629.294906
87.723841,1001,4665.000905
85.799388,1001,4700.657898
87.586154,1001,4736.373434
85.541636,1001,4772.222568
86.906194,1001,4808.022232
85.65025,1001,4844.065202
85.672885,1001,4879.949635
84.382174,1001,4915.833804
87.5518,1001,4951.587271
86.541449,1001,4987.367956
86.591049,1001,5023.180334
87.139689,1001,5059.149615
86.253822,1001,5094.976271
87.783054,1001,5130.797896
87.054441,1001,5166.624049
85.019038,1001,5200.82322
87.427584,1001,5236.536075
88.167795,1001,5272.435125
87.272353,1001,5308.215174
86.947735,1001,5343.939852
86.376558,1001,5379.611732
87.377361,1001,5415.639369
87.146511,1001,5451.93066
86.834699,1001,5488.17766
86.933516,1001,5524.082916
87.32105,1001,5559.958786
88.128958,1001,5595.770146
88.537984,1001,5631.602115
87.376318,1001,5667.423077
88.084437,1001,5703.334026
87.876439,1001,5739.216166
4.939298,203,5746.68944
79.195039,1001,5782.369679
87.627643,1001,5818.625923
88.861621,1001,5854.37259
84.6629,1001,5890.09327
87.153209,1001,5925.870893
87.475202,1001,5961.743234
87.937579,1001,5997.648284
88.457905,1001,6033.389505
87.830321,1001,6069.082896
88.590557,1001,6104.936216
87.222265,1001,6140.90481
87.711605,1001,6176.541546
87.691422,1001,6212.366045
87.362287,1001,6248.146515
88.453107,1001,6283.903354
88.689672,1001,6319.617151
88.75769,1001,6355.391567
88.155608,1001,6391.061991
88.421154,1001,6426.844512
88.626672,1001,6462.533812
89.02095,1001,6498.290146
88.130566,1001,6534.24913
89.077078,1001,6570.375647
87.851017,1001,6606.238056
88.960759,1001,6642.178075
87.192996,1001,6677.996389
88.289457,1001,6713.907647
89.367777,1001,6749.703838
89.942886,1001,6785.409066
87.16092,1001,6821.172115
89.098861,1001,6856.868109
87.940392,1001,6892.739417
89.208068,1001,6928.49886
89.246322,1001,6964.460136
89.927048,1001,7000.184178
53.105625,1001,7035.942536
89.171038,1001,7071.699758
90.131264,1001,7105.956581
86.022969,1001,7141.657297
89.448336,1001,7177.383338
89.795872,1001,7213.264685
89.631692,1001,7249.18429
89.697249,1001,7285.00886
89.636405,1001,7321.014581
87.96241,1001,7356.606385
90.1586,1001,7392.450095
90.285803,1001,7428.320961
82.787701,1001,7464.132615
89.494658,1001,7499.912849
89.854161,1001,7535.798948
86.3613,1001,7571.666873
85.810679,1001,7607.486561
89.168027,1001,7643.417836
89.348796,1001,7679.288252
89.495807,1001,7715.367434
89.801986,1001,7751.33182
89.543618,1001,7787.411338
89.168373,1001,7823.382286
85.847395,1001,7859.188814
90.136335,1001,7894.835094
89.79861,1001,7930.474316
89.284255,1001,7966.143922
89.186735,1001,8001.778459
90.190034,1001,8037.56261
89.950325,1001,8073.099857
89.180926,1001,8108.862592
90.096927,1001,8144.633502
90.144525,1001,8180.519312
89.683561,1001,8216.174224
90.061536,1001,8251.927226
88.142285,1001,8287.778304
90.24817,1001,8323.515142
89.459769,1001,8359.364929
90.487587,1001,8394.946937
89.136606,1001,8430.707208
89.499335,1001,8466.500906
89.649362,1001,8502.198889
87.298375,1001,8537.980615
89.297785,1001,8573.694199
89.273543,1001,8609.335615
88.919103,1001,8645.131376
90.545103,1001,8681.027494
90.512058,1001,8715.297269
90.429953,1001,8751.170219
90.174947,1001,8786.987038
89.619388,1001,8822.78292
