#{"t_start": 1765813572.4101155, "env_id": "None"}
r,l,t
5.1e-05,51,11.695871
0.0,263,22.892653
0.0,107,27.696455
0.0,189,37.377215
0.0,122,42.651289
0.0,51,45.656255
0.0,60,48.49211
0.0,62,51.396435
0.001004,92,55.796446
0.0,54,60.1377
0.0,47,63.01157
0.0,131,68.578558
0.0,53,71.615482
0.010546,104,75.859248
0.0,52,79.336933
0.0,151,86.492945
0.0,108,90.464246
0.0,239,101.444631
0.0,76,105.312515
0.052345,225,117.370834
0.0,118,122.595626
0.0,48,124.591119
0.0,49,127.535209
0.0,194,137.428771
0.0,62,139.912311
0.0,83,144.878237
0.0,77,149.639238
0.0,183,158.792505
0.0,169,169.397833
0.0,51,171.540173
0.0,48,174.010468
0.0,114,180.051004
0.0,111,185.034538
0.0,153,192.322791
0.0,122,197.668911
0.0,51,200.242079
0.0,42,202.983524
0.0,286,218.332671
0.0,41,221.467841
0.0,50,224.420228
0.0,280,237.674074
0.0,66,240.755771
0.0,52,243.815353
0.0,71,248.381295
0.0,53,251.027324
0.0,59,253.838736
0.0,60,256.697333
0.0,63,259.180423
0.0,149,267.361336
0.425682,111,273.641373
0.0,68,278.087663
0.0,83,282.175893
0.0,70,285.835866
0.0,77,290.654454
0.039348,162,298.215028
0.0,65,301.254945
0.0,92,305.661782
0.0,54,308.325442
0.0,49,310.856473
0.0,51,312.978367
0.0,64,316.398557
0.0,58,321.164926
0.0,54,323.852484
0.0,63,327.276541
0.0,53,329.891028
0.0,47,331.896021
0.0,141,339.275573
0.0,61,342.178118
0.0,108,347.963814
0.0,77,351.36421
0.0,263,364.429327
0.0,80,368.862451
0.0,149,378.86312
0.0,44,381.199329
0.0,69,385.71554
0.0,175,394.56471
0.0,59,397.418123
0.0,79,400.436006
0.0,108,405.744993
0.0,59,408.619827
0.0,55,412.244381
0.0,147,419.764318
0.057894,166,427.125423
0.0,263,440.162255
0.0,56,442.890886
0.0,67,446.450473
0.0,239,457.41747
0.0,46,459.852682
0.0,229,469.641537
0.319615,188,479.543532
0.0,75,482.923286
0.0,117,488.131753
0.0,73,491.875351
0.0,274,503.588685
0.0,104,508.347031
0.0,65,511.370716
0.0,306,527.317075
0.0,277,539.97693
0.0,48,542.92529
0.0,56,546.129767
0.0,63,549.554471
0.0,127,555.532558
0.0,59,557.932382
0.0,87,561.677344
0.0,77,566.017245
0.0,67,568.65842
0.0,231,580.507999
0.0,52,583.144856
0.001602,324,599.346867
0.0,56,602.607721
0.0,48,606.034868
0.352898,109,611.506555
0.002825,153,618.863826
0.0,393,638.987719
0.0,96,643.110956
0.0,45,645.070642
0.0,49,648.547233
0.0,88,652.432407
0.0,69,655.623075
0.416812,176,663.739197
0.0,46,666.18013
0.0,393,686.327563
0.0,64,689.823288
0.0,69,693.929648
0.0,156,702.392877
0.0,110,706.979969
0.019703,116,712.258772
0.0,85,715.97292
0.0,60,719.329477
0.0,117,724.1018
0.0,69,728.819266
0.0,267,740.775669
0.0,239,751.790967
